ID,Type,Name,Description,Page,Section
48054668-4115-42D2-A3DA-94284709245A,Input/Output,WBS,The work breakdown structure is the decomposition of a project into smaller components and provides the necessary framework for detailed cost estimating and control. Includes a data dictionary. The costs for and description of the physical end products (hardware and software) may be captured in a product breakdown structure (PBS). The PBS supports bottoms up and algorithmic (parametric) cost estimating (see 10.1.3). The PBS is a key ingredient of commercial cost estimating tools.,283,Appendix E
AA9EFF65-9061-4E42-96C1-EE25417AA890,Input/Output,Verified system,Verified system (or system element) ready for transition.,283,Appendix E
F9CB81A9-1B42-4934-96C9-15D8711666CE,Input/Output,Verification strategy,"Approaches, schedules, resources, and specific considerations required to accomplish the selected verification actions that minimize costs and risks while maximizing operational coverage of system behavior.",283,Appendix E
5169E477-2504-4C4E-B834-36297F1E6460,Input/Output,Verification report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the verification activities. Includes verification results and the objective evidence confirming that the system fulfills its requirements, architectural characteristics, and design properties or not. Should also communicate an assessment of the confidence level of the findings or results.",283,Appendix E
DB3844C8-64AD-4D6A-A825-BB3ACBFFC8BF,Input/Output,Verification record,"Permanent, readable form of data, information, or knowledge related to verification.",283,Appendix E
6DE2686D-4945-4E16-8692-F44451D743E8,Input/Output,Verification procedure,"A verification procedure that includes a set of verification actions, using a specific verification method/technique, performed with specific verification enablers.",283,Appendix E
29DB2C57-062F-44FA-82B1-5A9EBC925612,Input/Output,Verification enabling system requirements,Requirements for any systems needed to enable verification of the system of interest.,283,Appendix E
D4CB06D3-3528-4A15-8B9B-7E8CD2DCD6C9,Input/Output,Verification criteria,"The verification criteria (the measures to be assessed), who will perform verification activities, and the verification environments of the system of interest.",282,Appendix E
CC9ABC98-509A-4B24-A0E0-68C4717922B9,Input/Output,Verification constraints,"Any constraint on the system arising from the verification strategy including cost, schedule, and technical constraints.",282,Appendix E
2C119325-8B95-41BA-BCBE-C572EEC2AC59,Process,Business or mission analysis,"The purpose of the Business or Mission Analysis process is to define the business or mission problem or opportunity, characterize the solution space, and determine potential solution class(es) that could address a problem or take advantage of an opportunity.",49,4.1
62B41C1D-87A0-41F5-81F7-8EA33BB9BC38,Input/Output,Validation strategy,"Approaches, schedules, resources, and specific considerations required to accomplish the selected validation actions that minimize costs and risks while maximizing operational coverage of system behaviors.",282,Appendix E
067E9DF0-5A26-40EF-8472-469FE6029C0B,Input/Output,Validation report,"An account prepared for interested parties in order to communicate the status, results, and outcomes of the validation activities. Includes validation results and the objective evidence confirming that the system satisfies its stakeholder requirements and business requirements or not. Should also communicate an assessment of the confidence level of the findings or results.",282,Appendix E
58C57270-B2F4-44C5-9305-3D7E03EB9556,Input/Output,Validation record,"Permanent, readable form of data, information, or knowledge related to validation.",282,Appendix E
5BC7FB2D-F8D8-46C3-9EBD-B9BE34800D5E,Input/Output,Validation procedure,"A validation procedure that includes a set of validation actions, using specific validation techniques, performed with specific validation enablers.",282,Appendix E
409F02BA-A0E3-49F0-A8D4-E66FB18A2954,Input/Output,Validation enabling system requirements,Requirements for any systems needed to enable validation of the system of interest.,282,Appendix E
2C3AF885-74B0-4B8A-874B-BB547AD1A55A,Input/Output,Validation criteria,"The validation criteria (the measures to be assessed), who will perform validation activities, and the validation environments of the system of interest.",282,Appendix E
FB53BB79-BEC6-4BBB-81F2-7E7DD319D334,Input/Output,Validation constraints,"Any constraint on the system arising from the validation strategy including cost, schedule, and technical constraints.",282,Appendix E
F067CF7C-4CD8-4EAC-8DB2-65CBD4A03C5F,Process,Stakeholder Needs and Requirements Definition,The purpose of the Stakeholder Needs and Requirements Definition process is to define the stakeholder requirements for a system that can provide the capabilities needed by users and other stakeholders in a defined environment.,52,4.2
C234547C-9DE1-422D-AFFD-D19C9DF4A388,Input/Output,Validated system,Validated system ready for supply and operation. Also informs maintenance and disposal.,282,Appendix E
50539781-54A7-4919-BDA4-192590A3D164,Input/Output,Validated requirements,Confirmation that the various requirements will satisfy the business and stakeholder requirements.,282,Appendix E
